location,doses
California,10512860
Alameda,491913
Alpine,609
Amador,11269
Butte,64260
Calaveras,12655
Colusa,3880
Contra Costa,368545
Del Norte,4271
El Dorado,50126
Fresno,211791
Glenn,6624
Humboldt,36024
Imperial,31936
Inyo,6076
Kern,158023
Kings,18352
Lake,15383
Lassen,4685
Madera,31060
Marin,101966
Mariposa,3218
Mendocino,33318
Merced,47214
Modoc,2911
Mono,8016
Monterey,87968
Napa,53549
Nevada,27650
Orange,860133
Placer,127163
Plumas,4549
Riverside,532595
Sacramento,343609
San Benito,10809
San Bernardino,416657
San Diego,1065999
San Francisco,287734
San Joaquin,146014
San Juan,1
San Luis Obispo,80007
San Mateo,260343
Santa Barbara,110475
Santa Clara,502903
Santa Cruz,96520
Shasta,34919
Sierra,1410
Siskiyou,12277
Solano,103137
Sonoma,166142
Stanislaus,114164
Sutter,23258
Tehama,10994
Trinity,2488
Tulare,87417
Tuolumne,17370
Ventura,232793
Yolo,64020
Yuba,11508
